epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,168.1453,1.958996,26.7806,1.765796,35.7400
2,115.7189,1.760426,35.5658,1.657799,39.7600
3,114.8857,1.684585,38.5572,1.570925,43.3400
4,122.8840,1.634776,40.2689,1.556101,44.2200
5,109.3375,1.595805,41.9493,1.512100,44.9200
6,108.1392,1.567675,42.6149,1.487035,46.6000
7,109.9773,1.542791,43.9103,1.472713,47.0800
8,110.1016,1.525506,44.3087,1.461909,47.7800
9,115.5325,1.513763,44.7650,1.440196,47.3200
10,128.3579,1.502427,45.2925,1.422183,49.3200
