epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,12.1922,1.827842,32.5031,1.573850,42.9400
2,11.7756,1.533677,44.2575,1.435425,49.7600
3,11.9614,1.423718,48.1637,1.317787,51.9600
4,11.7766,1.344745,51.1908,1.235966,55.0800
5,12.1158,1.289425,53.2074,1.212823,55.9800
6,11.6746,1.226752,55.7225,1.121521,59.5800
7,11.9302,1.182794,57.2249,1.129346,58.6600
8,11.7584,1.145075,58.7206,1.076885,61.5200
9,12.0194,1.109574,60.1518,1.057437,62.3000
10,11.9054,1.075433,61.4739,1.005867,63.5400
11,11.8355,1.040488,62.6647,1.019727,64.4200
12,11.8123,1.018465,63.8132,0.961599,66.6600
13,11.6593,0.986970,64.7058,0.956709,65.7000
14,11.9849,0.955354,65.9522,0.919023,67.5400
15,12.1401,0.935289,66.9427,0.903804,68.1200
16,11.9209,0.910597,67.7862,0.871537,68.9200
17,11.8466,0.884980,68.5853,0.888256,68.6200
18,11.8995,0.866136,69.2708,0.836814,70.3400
19,11.7605,0.853665,69.7160,0.810029,70.7400
20,92.2831,0.825598,70.4950,0.802782,71.0000
21,11.8343,0.806917,71.3141,0.821388,71.3000
22,11.8869,0.787990,71.8884,0.778344,72.2600
23,11.9919,0.769917,72.3513,0.772448,73.3400
24,11.8417,0.749472,73.4019,0.794470,72.8200
25,12.0161,0.733767,74.0229,0.765835,73.2000
26,11.7995,0.715782,74.4881,0.722330,74.7200
27,11.8177,0.695284,75.4318,0.714349,74.2200
28,11.8528,0.685862,75.6855,0.716091,74.7200
29,11.6976,0.674541,76.0662,0.707965,75.2800
30,11.8314,0.653377,76.8630,0.693815,76.0000
31,11.8755,0.638147,77.4862,0.689783,76.0200
32,11.8612,0.627757,77.9848,0.683388,76.4600
33,11.7806,0.613691,77.9091,0.658876,77.3200
34,11.9284,0.605416,78.2496,0.664362,76.9400
35,11.9996,0.588756,79.0977,0.660439,77.1800
36,11.9104,0.577886,79.4048,0.680046,77.6000
37,11.9706,0.567068,79.7877,0.682536,76.2400
38,11.8952,0.556506,80.2462,0.649378,77.9200
39,11.8986,0.537649,80.7559,0.654357,78.0800
40,12.0639,0.526930,81.2856,0.667962,77.8000
41,11.6829,0.517495,81.2789,0.639559,78.7200
42,11.7656,0.514771,81.6395,0.669557,77.8800
43,12.0795,0.499728,81.9778,0.633416,78.3200
44,11.8347,0.487404,82.5254,0.658867,78.2200
45,11.8432,0.478135,82.7101,0.642877,78.7800
46,12.0870,0.462679,83.4669,0.616283,80.2000
47,12.0271,0.460956,83.6093,0.614183,79.5600
48,11.9169,0.450233,83.7429,0.629703,79.0600
49,12.0451,0.438705,84.2504,0.662543,78.6400
50,11.8643,0.434737,84.2593,0.650291,78.7800
