epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,24.8543,1.979280,25.7812,1.879293,31.3400
2,24.0534,1.767317,33.9499,1.672590,39.0400
3,24.0839,1.630083,39.9907,1.500511,45.7000
4,24.0784,1.531648,43.8390,1.450896,48.1000
5,24.0679,1.451979,47.0709,1.367516,51.5600
6,24.0396,1.386440,49.3256,1.344973,52.8600
7,24.0115,1.326999,51.7873,1.260326,55.1000
8,24.0539,1.282774,53.3965,1.198618,57.1800
9,24.0503,1.247699,54.8455,1.211561,57.5800
10,24.0582,1.212492,56.0764,1.186975,58.5200
11,23.9961,1.190634,57.3562,1.172195,58.8000
12,24.0196,1.157004,58.5314,1.128271,59.4800
13,24.0545,1.137617,59.2348,1.126764,61.4800
14,24.0359,1.112251,60.3722,1.095978,61.3000
15,24.0391,1.096955,60.4256,1.067459,62.5000
16,24.0478,1.077365,61.0332,1.029506,65.0600
17,24.0497,1.064281,61.7989,1.008295,64.6400
18,24.0158,1.044233,62.4043,1.008833,64.0400
19,24.0503,1.031596,63.2056,1.061358,63.6800
20,24.0645,1.015092,63.4949,0.997687,65.1200
21,24.0218,1.003401,64.0135,0.999776,64.5200
22,24.0189,0.997320,64.3897,0.991602,65.8200
23,24.0508,0.973928,65.0196,0.964725,65.8200
24,24.0305,0.970667,65.2310,0.972500,64.7600
25,24.0513,0.957805,65.4581,0.965806,65.9400
26,24.0246,0.943739,66.0434,0.931741,67.1200
27,24.0510,0.936189,66.5153,0.924118,67.4400
28,24.0110,0.922679,66.9382,0.932517,68.0000
29,24.0100,0.919149,66.8470,0.910270,68.1200
30,24.0318,0.905844,67.4835,0.911297,67.9600
31,24.0444,0.896460,68.0155,0.918735,67.9000
32,24.1278,0.887690,68.3405,0.902841,68.0400
33,24.0799,0.876347,68.5497,0.900913,68.9800
34,24.1139,0.867935,68.8902,0.879718,69.7400
35,24.0688,0.859963,69.2597,0.854863,69.8000
36,24.0936,0.852303,69.3532,0.850786,70.2200
37,24.0216,0.844319,69.8340,0.853800,70.2200
38,24.0410,0.837852,70.0076,0.841003,70.1400
39,24.0336,0.829065,70.2279,0.865553,69.6600
40,24.0039,0.819425,70.6419,0.845360,70.3200
41,24.0205,0.813956,70.8645,0.861582,70.5800
42,24.0079,0.804880,71.3052,0.830305,70.8200
43,24.0637,0.797121,71.3720,0.827719,71.2800
44,24.0315,0.792464,71.6546,0.836832,71.3000
45,24.0268,0.785025,71.9885,0.844954,70.2600
46,24.0083,0.782069,72.0152,0.815930,71.8200
47,23.9895,0.772330,72.3402,0.820928,71.7000
48,24.0846,0.768006,72.4381,0.816018,71.5000
49,23.9954,0.759130,72.9322,0.819713,72.0400
50,24.0347,0.752125,72.9478,0.793610,72.6200
51,24.0709,0.750579,73.0836,0.821792,71.7000
52,24.0093,0.740468,73.6334,0.829479,71.6400
53,24.0609,0.737786,73.6423,0.822775,71.6400
54,24.1360,0.731486,74.1164,0.816207,72.0600
55,24.1067,0.724776,74.1987,0.791279,72.9000
56,24.1197,0.718933,74.3924,0.797442,71.7600
57,24.0490,0.718174,74.2855,0.764844,72.9000
58,24.0718,0.701650,74.9777,0.785440,73.1400
59,24.0635,0.701996,75.0779,0.773533,73.0400
60,24.0318,0.693527,75.2092,0.802907,72.0600
