epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,24.3193,1.990143,25.6522,1.841209,31.7400
2,24.0717,1.772114,34.1101,1.639519,40.7800
3,24.0977,1.631479,40.1487,1.524439,46.0800
4,24.0760,1.532199,43.8123,1.433507,49.2400
5,24.0602,1.459249,46.7526,1.356733,51.1400
6,24.0858,1.392662,49.3634,1.311077,53.6000
7,24.0737,1.340885,51.1040,1.257539,54.6200
8,24.0730,1.296425,53.0515,1.224999,56.3600
9,24.0718,1.252948,54.6341,1.193477,56.8400
10,24.0624,1.222649,55.6490,1.159076,58.4200
11,24.0861,1.191282,57.2872,1.170090,58.5200
12,24.1547,1.168744,57.8704,1.142465,59.5200
13,24.1105,1.149743,58.5693,1.106210,60.9800
14,24.0923,1.122136,59.6132,1.080384,61.8400
15,24.1338,1.101522,60.6125,1.109942,61.5200
16,24.0697,1.091605,60.8774,1.076257,61.5600
17,24.0413,1.071728,61.5207,1.026034,63.9800
18,24.0484,1.052961,62.1973,1.037849,63.1800
19,24.0604,1.039308,62.5490,1.032183,64.5800
20,24.0391,1.025613,63.1878,1.004003,65.1400
21,24.1068,1.011839,63.7086,0.988609,64.7400
22,24.0989,1.002494,64.1916,0.986879,65.5200
23,24.0747,0.993783,64.2205,0.956344,65.9200
24,24.0840,0.977231,64.9840,0.955585,65.8000
25,24.1242,0.960096,65.5404,0.954705,65.5600
26,24.1452,0.956371,65.8476,0.971739,66.0000
27,24.0849,0.942778,66.1481,0.939959,67.0200
28,24.0467,0.935372,66.3039,0.886215,68.6800
29,24.0704,0.921964,66.8536,0.948837,66.7800
30,24.0777,0.915242,67.2098,0.902259,68.0600
31,24.0734,0.905650,67.4168,0.913090,67.2400
32,24.0666,0.892151,68.1468,0.938420,66.7600
33,24.1058,0.883841,68.3494,0.899534,68.5600
34,24.0673,0.881660,68.3983,0.951988,66.5400
35,24.0544,0.867262,68.7589,0.896685,68.1400
36,24.1080,0.857015,69.2263,0.858408,69.5200
37,24.1025,0.852945,69.5045,0.840728,70.2200
38,24.0878,0.842381,69.7360,0.857705,69.5400
39,24.0848,0.834570,70.0476,0.844412,70.0600
40,24.0541,0.829028,70.1611,0.838358,70.5000
41,24.0552,0.818032,70.6619,0.868649,69.2800
42,24.0964,0.812717,70.9580,0.840626,69.7200
43,24.1089,0.800672,71.5434,0.830024,70.1400
44,24.0642,0.798352,71.5500,0.819185,71.3800
45,24.0803,0.790023,71.7459,0.811258,71.4400
46,24.0469,0.780348,72.3001,0.813697,71.3400
47,24.0962,0.776754,72.0264,0.781368,72.5600
48,24.0655,0.765705,72.7319,0.821154,71.5200
49,24.0600,0.757385,73.0480,0.802438,72.2200
50,24.0505,0.757688,73.1148,0.811215,71.3000
51,24.0558,0.749863,73.4442,0.792444,72.2800
52,24.0562,0.743119,73.3974,0.796620,72.3600
53,24.0739,0.735853,73.8782,0.803198,72.4000
54,24.0422,0.728911,73.9071,0.829937,70.7400
55,24.0748,0.722609,74.2121,0.766861,72.7200
56,24.0467,0.711571,74.5237,0.781265,72.7400
57,24.0727,0.713438,74.4569,0.779710,72.4800
58,24.0957,0.703601,74.8175,0.791632,72.7800
59,24.0799,0.698931,74.9199,0.777580,73.4000
60,24.0809,0.696443,75.3027,0.754950,73.0600
