epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,21.5800,2.024947,23.5332,1.924402,26.9000
2,21.3865,1.836450,30.1327,1.782637,32.5000
3,21.3088,1.711468,35.2520,1.640055,39.0000
4,21.3127,1.624505,39.0113,1.541208,43.5600
5,21.3060,1.536124,42.6616,1.513777,45.1800
6,21.3298,1.466488,45.6709,1.463267,46.6400
7,21.3614,1.414333,48.3640,1.382071,50.4200
8,21.4337,1.366650,49.9933,1.301666,53.6600
9,21.3535,1.333276,51.3377,1.301571,53.4200
10,21.3038,1.304422,52.6220,1.313211,53.6000
11,21.3450,1.276635,53.5301,1.257098,55.4800
12,21.3458,1.253465,54.6519,1.256756,55.1800
13,21.3764,1.227982,55.2818,1.196250,57.2000
14,21.3359,1.208074,56.2478,1.191001,58.4800
15,21.3157,1.191425,56.9155,1.168953,58.6000
16,21.3181,1.169742,57.6767,1.163308,59.0000
17,21.3374,1.154185,58.2131,1.134060,60.1600
18,21.3264,1.137721,58.8987,1.104990,61.1800
19,21.2866,1.123735,59.3661,1.143741,60.1800
20,21.3326,1.109000,60.0071,1.092436,61.9800
21,21.3225,1.099704,60.2987,1.084789,61.8000
22,21.3072,1.080843,61.1801,1.108019,61.4200
23,21.3605,1.067012,61.8189,1.109031,61.7600
24,21.2749,1.065942,61.7655,1.052161,63.1000
25,21.3920,1.049642,62.3019,1.062822,62.9600
26,21.3962,1.034638,62.8005,1.044861,63.2600
27,21.3433,1.027558,63.2523,1.027029,63.2400
28,21.3510,1.017303,63.3169,1.039090,63.3600
29,21.3897,1.008645,63.9668,0.994155,64.7200
30,21.3427,0.996149,64.2317,0.979507,65.5200
31,21.3175,0.988846,64.4676,0.995919,64.7000
32,21.3242,0.978874,65.0574,0.960267,66.1000
33,21.3400,0.972152,65.0374,0.984836,65.8000
34,21.3148,0.964434,65.4959,0.967234,66.0800
35,21.3351,0.953372,65.7652,0.948945,66.0800
36,21.3239,0.944479,65.9411,0.936434,66.6000
37,21.3300,0.938059,66.4686,0.968638,66.1200
38,21.3358,0.929092,66.8381,0.934056,66.3000
39,21.3547,0.919169,67.2854,0.910149,67.3200
40,21.3273,0.908124,67.5013,0.910718,67.9000
41,21.2867,0.899479,67.6972,0.911622,67.8600
42,21.3407,0.899259,67.9821,0.938550,67.2000
43,21.3601,0.887281,68.4161,0.886800,68.4800
44,21.3136,0.878857,68.6832,0.874999,68.5800
45,21.2994,0.871466,68.7990,0.883292,68.4400
46,21.3630,0.867048,69.0349,0.896881,68.0800
47,21.3151,0.857432,69.5446,0.908474,67.9400
48,21.3278,0.852481,69.5891,0.892921,68.5800
49,21.3327,0.844433,69.9163,0.853620,69.8400
50,21.3072,0.841240,70.1011,0.842919,70.0200
51,21.4188,0.834467,70.0432,0.857393,69.9600
52,21.3438,0.822601,70.6530,0.871520,69.5400
53,21.4175,0.819110,70.7732,0.838881,69.8000
54,21.3376,0.809011,71.1895,0.825623,70.4400
55,21.2971,0.802126,71.2918,0.840012,70.7400
56,21.3626,0.805160,71.3542,0.848052,70.6800
57,21.3331,0.797515,71.5389,0.850554,70.1200
58,21.3475,0.786229,71.9774,0.826616,70.9400
59,21.2993,0.784280,72.0397,0.853672,70.0000
60,21.3456,0.776257,72.1866,0.863265,70.0200
