epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,24.3242,1.983239,25.5431,1.821494,33.1000
2,24.0456,1.768458,34.5575,1.707282,39.5200
3,24.0640,1.633603,40.3201,1.568301,43.5400
4,24.0492,1.539043,43.7211,1.517439,46.8800
5,24.0835,1.473305,45.9869,1.410535,49.8200
6,24.1064,1.413380,48.6267,1.377185,51.5200
7,24.0622,1.370521,50.0890,1.335019,53.2200
8,24.0921,1.326283,51.9565,1.259800,55.3000
9,24.0443,1.286788,53.3320,1.344355,53.6800
10,24.0580,1.260562,54.4182,1.202709,57.1200
11,24.0719,1.223556,55.8471,1.169889,58.9200
12,24.0427,1.191897,56.9333,1.145475,59.7400
13,24.0934,1.170960,57.6611,1.177480,59.4000
14,24.0833,1.147718,58.7785,1.141859,59.9200
15,24.0659,1.129747,59.4373,1.112345,60.4600
16,24.0813,1.107132,60.1919,1.073008,61.6800
17,24.0519,1.089639,60.8040,1.090761,60.9600
18,24.0640,1.072538,61.2669,1.025638,62.9200
19,24.0458,1.060355,61.8501,1.002162,63.8200
20,24.0770,1.043269,62.5356,1.033416,63.8000
21,24.0698,1.022569,63.4037,1.009583,64.5000
22,24.0604,1.017381,63.7932,1.011119,64.0000
23,24.0936,1.006495,63.7531,0.982007,64.9400
24,24.0362,0.990047,64.3474,0.975376,64.9200
25,24.0766,0.980144,64.9038,0.976825,65.8800
26,24.0862,0.964703,65.5582,0.990275,65.1600
27,24.0932,0.954826,65.9834,0.955707,66.1600
28,24.0727,0.941248,66.4908,0.958094,66.1600
29,24.0714,0.932954,66.4886,0.929707,67.0800
30,24.0301,0.920412,67.1140,0.898680,68.1800
31,24.0221,0.907304,67.8241,0.925510,67.2800
32,24.0914,0.895810,67.8664,0.937760,67.0800
33,24.0669,0.891598,68.2492,0.868147,68.8400
34,24.0432,0.881077,68.4696,0.886601,68.8400
35,24.0365,0.867866,68.9859,0.885529,69.0600
36,24.0612,0.862977,69.1262,0.851406,70.5000
37,24.0533,0.852439,69.1684,0.854643,69.5600
38,24.0488,0.842507,69.8340,0.890778,69.2000
39,24.0511,0.836177,69.8851,0.906987,68.0600
40,24.0378,0.829081,70.3259,0.850506,70.1200
41,24.0618,0.820448,70.6308,0.843849,70.4400
42,24.0614,0.816584,70.8823,0.827619,70.8400
43,24.0731,0.804209,71.2585,0.845964,70.5200
44,24.0379,0.797831,71.4788,0.821256,71.4200
45,24.0677,0.789252,71.8683,0.799343,71.7800
46,24.0471,0.783732,72.0909,0.791109,72.0800
47,24.0517,0.779453,72.2400,0.807404,71.5600
48,24.0811,0.769996,72.4982,0.824517,71.1200
49,24.0588,0.762679,72.7675,0.809397,72.0600
50,24.0694,0.755785,73.0257,0.822163,71.9400
51,24.0826,0.748037,73.2728,0.804484,72.9600
52,24.0406,0.741454,73.5822,0.793957,72.2400
53,24.0524,0.739002,73.5889,0.814161,71.7600
54,24.0891,0.730253,73.9962,0.805998,71.8200
55,24.0487,0.725501,73.9962,0.803906,72.3400
56,24.0593,0.722813,74.1653,0.767434,73.7400
57,24.0606,0.714555,74.4881,0.793669,72.5400
58,24.0748,0.706770,74.9466,0.764854,73.9200
59,24.0696,0.701689,75.0267,0.788282,72.7600
60,24.0767,0.696941,75.1469,0.763981,73.8400
