epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,822.9501,1.856898,31.2344,1.642675,39.6200
2,769.4173,1.573519,42.6304,1.406780,48.8600
3,778.4565,1.434739,47.8543,1.366155,51.5400
4,778.8194,1.354227,50.7857,1.255815,54.4200
5,864.6094,1.291068,53.4811,1.226836,56.0800
6,851.3853,1.244086,55.0681,1.161529,58.4600
7,820.6613,1.196347,56.6974,1.135475,59.6600
8,811.9403,1.156564,58.5092,1.078719,61.2600
9,815.9548,1.120425,59.8958,1.056493,63.1000
10,837.7925,1.084859,61.0332,1.043789,62.9200
11,984.1484,1.055855,62.1327,1.001725,64.3400
12,879.7550,1.023446,63.6619,0.976371,65.2800
13,899.7593,0.991391,64.6657,0.947658,66.6000
14,1003.4755,0.973602,65.1554,0.896301,67.9200
15,833.2130,0.946000,65.9923,0.885711,68.1600
