epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,4.9249,2.095514,20.6130,1.962358,26.0200
2,4.6162,1.929280,27.4150,1.863223,31.1600
3,4.7040,1.849541,30.9785,1.811445,32.8400
4,4.6285,1.787321,33.3044,1.768118,34.1400
5,4.8104,1.735822,35.1051,1.712538,37.6800
6,4.6734,1.703410,36.1445,1.657366,38.5400
7,4.6419,1.683233,36.9747,1.631156,39.9800
8,4.8851,1.654917,38.1989,1.615227,41.5600
9,4.7369,1.633971,39.3541,1.585796,42.2600
10,4.6845,1.609032,40.4158,1.538310,43.1400
11,4.7948,1.590347,41.0434,1.507076,45.0800
12,4.5599,1.567950,41.9137,1.500469,45.3000
13,4.6802,1.548857,42.7395,1.479755,45.3800
14,4.7175,1.535251,43.2915,1.461346,47.0800
15,4.6994,1.521704,43.6476,1.443778,47.1000
16,4.7790,1.503035,44.6448,1.435790,47.9800
17,4.6531,1.488761,45.2502,1.413366,49.3400
18,4.5812,1.471829,46.0381,1.391890,48.9600
19,4.7393,1.457609,46.4610,1.378548,50.1600
20,4.7410,1.444084,47.0931,1.358246,50.7200
21,4.6850,1.431206,47.2868,1.378968,50.1000
22,4.7618,1.418216,48.0101,1.341818,50.8600
23,4.8073,1.405386,48.4709,1.327322,52.2800
24,4.6691,1.396078,48.9160,1.312642,51.7400
25,4.8524,1.386351,48.6289,1.312324,52.3200
26,4.6555,1.379705,49.3990,1.303944,52.2000
27,4.7975,1.366781,50.0556,1.300415,52.7600
28,4.7863,1.363565,50.1358,1.285303,53.6000
29,4.8079,1.347020,50.8814,1.288537,53.3200
30,4.8754,1.341335,50.9259,1.262154,53.8800
31,4.7547,1.335369,51.3355,1.259814,54.3400
32,4.7755,1.329736,51.1841,1.279908,53.2000
33,4.8261,1.319818,52.0678,1.261623,54.2600
34,4.7158,1.311843,51.9320,1.245390,54.4600
35,4.7498,1.304751,52.4706,1.230370,55.2000
36,4.8406,1.302598,52.6531,1.247042,54.4600
37,4.6530,1.294375,52.6487,1.234663,54.8400
38,4.6689,1.289926,52.6509,1.225004,55.3200
39,4.6661,1.281759,53.3565,1.215100,56.2800
40,4.6783,1.269891,53.5924,1.211766,55.7600
41,4.7253,1.268235,53.7794,1.199989,56.5400
42,4.7119,1.263235,54.1288,1.211678,55.8000
43,4.6316,1.257662,54.3826,1.195004,56.4400
44,4.8350,1.255890,54.0888,1.181815,57.1400
45,4.7009,1.246812,54.6830,1.182189,56.9800
46,4.7908,1.242334,54.6096,1.168276,57.4200
47,4.7957,1.240993,54.8633,1.168556,57.8200
48,4.7261,1.236057,55.1527,1.170408,57.6400
49,4.6225,1.230662,55.3486,1.161302,57.4000
50,4.5712,1.228307,55.5088,1.160949,58.0200
51,4.6447,1.220693,55.5867,1.159412,58.7000
52,4.8266,1.212956,55.8672,1.152760,58.3600
53,4.7009,1.212539,56.0074,1.148059,58.4200
54,4.7491,1.203727,56.3613,1.135514,58.3000
55,4.8149,1.200598,56.3235,1.124253,58.7200
56,4.7204,1.194146,56.7352,1.111830,59.6600
57,4.6715,1.194624,56.7642,1.118330,59.1600
58,4.6805,1.187709,57.0357,1.122627,59.3000
59,4.6450,1.190629,56.9422,1.114111,59.0600
60,4.7143,1.187318,57.0468,1.109169,59.6400
61,4.8201,1.175682,57.4252,1.110301,59.5400
62,4.7280,1.174346,57.5231,1.105130,59.7200
63,4.7956,1.173479,57.3629,1.086990,60.4400
64,4.6710,1.168269,57.7435,1.120533,59.2000
65,4.7039,1.162452,57.9149,1.092020,60.6000
66,4.8928,1.158558,58.0284,1.070801,61.1600
67,4.4488,1.158892,58.0195,1.078262,60.9200
68,4.6525,1.154046,58.2443,1.078261,61.2400
69,4.6820,1.147461,58.5314,1.089199,60.6200
70,4.7183,1.147924,58.5403,1.061234,61.2400
71,4.7703,1.144143,58.6939,1.064595,61.4200
72,4.7676,1.137132,58.9788,1.049149,62.1400
73,4.6398,1.131648,59.1190,1.044950,62.5600
74,4.6986,1.130755,59.0166,1.053745,61.7200
75,4.6858,1.125488,59.3238,1.045318,61.8000
76,4.6145,1.125523,59.3661,1.034756,62.3800
77,4.8096,1.117348,59.6532,1.043771,62.3000
78,4.6736,1.110398,60.1095,1.025301,62.3000
79,4.6279,1.106080,59.9559,1.013979,63.0600
80,4.8106,1.105286,60.2008,1.021216,63.1200
