epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,21.6032,2.117276,19.6492,2.029139,23.8800
2,21.2928,1.934248,27.5975,1.892582,30.6200
3,21.2860,1.849029,30.5311,1.814490,33.3600
4,21.3010,1.804918,32.2828,1.816721,32.7600
5,21.2461,1.775083,33.8052,1.787735,35.5600
6,21.2350,1.747624,34.8513,1.775285,35.0600
7,21.2986,1.715808,35.9931,1.788454,36.0000
8,21.2851,1.692010,36.9947,1.775020,36.4400
9,21.2636,1.666133,37.8183,1.706533,38.4600
10,21.2562,1.637151,39.3830,1.663895,40.0800
11,21.2393,1.617643,40.2244,1.675078,39.8200
12,21.2456,1.592382,41.4842,1.584537,43.2200
13,21.2346,1.567925,42.2921,1.545398,44.7400
14,21.2728,1.552054,43.0088,1.582180,44.0200
15,21.2969,1.535586,43.5118,1.558157,44.5000
16,21.2488,1.521861,44.1907,1.529345,45.1200
17,21.2739,1.508513,44.6692,1.511320,45.9400
18,21.2713,1.494031,45.2569,1.483400,46.9000
19,21.2421,1.480020,45.9513,1.486978,46.9800
20,21.2589,1.466760,46.1071,1.450543,47.3800
21,21.2727,1.458866,46.3586,1.420996,48.0800
22,21.2749,1.450884,46.9596,1.431512,47.9800
23,21.2518,1.438497,47.3914,1.431967,48.7400
24,21.2550,1.429597,47.4915,1.452095,47.9400
25,21.2880,1.421403,48.1548,1.395440,49.2600
26,21.2827,1.406932,48.3774,1.379293,50.0800
27,21.2565,1.397129,48.7358,1.399409,49.7000
28,21.2514,1.391199,49.1253,1.423314,48.9400
29,21.2797,1.386299,49.4235,1.355172,51.0600
30,21.2688,1.373411,49.7930,1.376877,50.0800
31,21.2608,1.363882,50.2916,1.365062,51.0200
32,21.2480,1.358140,50.4696,1.348723,51.1200
33,21.2486,1.349982,50.7301,1.333299,51.8400
34,21.2589,1.346724,50.9126,1.362406,50.8200
35,21.2856,1.333033,51.3577,1.347982,51.1400
36,21.2811,1.329580,51.4579,1.353618,51.5000
37,21.2195,1.319820,51.8007,1.324769,52.8600
38,21.2892,1.310393,52.3927,1.334702,52.9000
39,21.2907,1.305456,52.5797,1.302572,53.0200
40,21.2483,1.301734,52.4061,1.268305,54.3000
