epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,6.9017,2.116570,19.4667,2.037156,22.3800
2,4.9225,2.001500,24.3056,1.978958,26.1000
3,4.9038,1.933758,27.0188,1.916919,28.4000
4,5.1337,1.859985,29.8834,1.814352,33.5400
5,4.9038,1.799026,32.4809,1.797391,34.6000
6,4.9345,1.752303,33.7629,1.731141,36.3600
7,5.0314,1.717282,35.1941,1.714868,36.9000
8,4.8279,1.696717,35.7350,1.657168,39.3000
9,4.9415,1.677693,36.7544,1.622525,39.8400
10,4.8352,1.654409,37.5913,1.616499,40.2800
11,4.8956,1.635117,38.3658,1.572160,42.5000
12,4.9977,1.622209,38.9379,1.549149,42.7600
13,4.8971,1.605890,39.7302,1.548009,43.2800
14,4.8850,1.592099,40.5961,1.536910,43.9400
15,5.1263,1.579158,41.1525,1.527073,44.4400
16,4.9356,1.568860,41.4129,1.505371,44.7600
17,4.9047,1.546970,42.3322,1.475854,46.7600
18,4.8209,1.541648,42.6527,1.481250,45.5000
19,4.9999,1.527168,43.6276,1.458761,46.6800
20,5.0135,1.519452,43.7611,1.460940,46.7400
21,4.7699,1.503318,44.2686,1.439225,47.1000
22,4.9252,1.490692,45.1211,1.440669,47.0800
23,4.8823,1.480680,45.4371,1.413406,48.3600
24,4.9563,1.468974,45.9914,1.421780,47.9400
25,5.0329,1.460365,46.3475,1.383780,48.6200
26,5.7727,1.444112,46.6235,1.381503,49.1600
27,5.0785,1.432727,47.1599,1.377707,49.6800
28,5.0959,1.421280,47.9189,1.376872,50.4600
29,5.0685,1.405934,48.3195,1.344534,51.0600
30,5.1361,1.393734,48.9539,1.330309,51.0800
31,5.1584,1.383492,49.2121,1.318378,52.1000
32,5.0690,1.368457,49.9132,1.306245,52.6400
33,5.1796,1.366719,49.9978,1.314795,52.7000
34,5.0603,1.350108,50.7390,1.296536,53.2400
35,5.2726,1.348034,50.8592,1.281539,53.6600
36,5.2516,1.339891,51.2464,1.273891,54.1000
37,5.1921,1.331206,51.4111,1.275431,53.8000
38,5.2277,1.323714,51.5313,1.266210,54.6200
39,5.0704,1.317974,51.8585,1.269022,54.1200
40,5.3745,1.311970,52.2080,1.260913,54.8800
41,5.1312,1.302512,52.5730,1.268093,54.5800
42,5.1344,1.301484,52.7132,1.249384,54.9600
43,5.2444,1.289906,52.8446,1.262691,55.7200
44,5.0576,1.289509,53.2719,1.254007,55.6600
45,5.1989,1.280475,53.3298,1.226996,56.3400
46,5.1419,1.274901,53.5969,1.225512,56.0000
47,5.2101,1.267585,53.9374,1.225570,56.0200
48,5.2731,1.262626,54.2423,1.209322,57.1600
49,4.9135,1.255657,54.6942,1.208077,57.0200
50,5.2790,1.258948,54.2179,1.200297,57.2600
51,5.0141,1.244572,54.7765,1.197540,57.8800
52,5.2329,1.243024,54.8678,1.194433,57.5600
53,5.1065,1.234414,55.2818,1.195344,57.4400
54,4.9333,1.230186,55.3842,1.199547,57.4200
55,5.2750,1.231549,55.1304,1.186862,58.0200
56,5.1086,1.224761,55.8293,1.170239,58.6200
57,5.2994,1.222904,55.5088,1.160769,58.7600
58,5.0880,1.218755,55.8160,1.163115,59.0000
59,4.9439,1.209039,56.1877,1.158213,59.3800
60,5.2809,1.203850,56.1120,1.162867,59.4400
61,5.1177,1.201669,56.5505,1.173644,58.5000
62,5.1907,1.196390,56.5149,1.155782,58.9600
63,5.1355,1.192007,56.9422,1.142361,59.5000
64,5.1246,1.189004,57.0491,1.140429,59.6600
65,5.2393,1.185553,57.0335,1.130935,59.6400
66,4.9564,1.182117,57.0847,1.131033,60.2400
67,5.1787,1.179136,57.3673,1.103870,61.0000
68,5.1867,1.172459,57.6211,1.135220,59.3200
69,5.0513,1.171763,57.6233,1.115294,60.1800
70,5.1854,1.162815,58.0996,1.127596,60.4600
71,5.1234,1.164325,57.7324,1.094647,61.0800
72,5.2868,1.153460,58.4602,1.112860,60.2400
73,5.1596,1.147340,58.7407,1.093150,60.5800
74,5.0259,1.147159,58.7562,1.100913,61.3200
75,5.1196,1.143416,58.4491,1.091675,60.9400
76,5.0736,1.135868,58.8297,1.084873,61.4000
77,5.2570,1.134706,59.0189,1.089012,61.4600
78,5.0882,1.129705,59.0589,1.078931,61.3000
79,5.1281,1.124374,59.2081,1.067770,62.1400
80,5.1490,1.124563,59.3461,1.075886,61.3000
