epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,5.1164,2.106825,19.6648,1.999997,23.4200
2,4.8962,1.939520,26.8118,1.892517,29.8000
3,4.7189,1.840661,30.6112,1.757585,34.7400
4,4.7793,1.782560,32.7123,1.715571,35.9800
5,4.8029,1.744192,34.2170,1.702017,36.3000
6,4.7739,1.719247,35.0294,1.678027,37.6600
7,4.7888,1.696428,36.1222,1.639118,39.2400
8,4.7170,1.672820,36.8679,1.619381,40.4800
9,4.7759,1.657779,37.7315,1.606624,41.0200
10,4.9688,1.643560,38.7620,1.551949,42.5200
11,4.7230,1.621576,39.3697,1.554316,43.0200
12,4.6985,1.609641,39.8415,1.577841,42.5200
13,4.9561,1.591416,41.0657,1.545712,43.4200
14,4.7607,1.575687,41.5665,1.492063,45.1200
15,4.7078,1.556765,42.1230,1.490256,45.1200
16,4.9122,1.544514,42.8641,1.471021,46.6000
17,4.7105,1.524826,43.5764,1.487572,46.2400
18,4.8657,1.511871,44.1729,1.447031,47.2800
19,4.8175,1.502584,44.8718,1.444469,47.9400
20,4.6448,1.488808,45.0944,1.430302,48.5000
21,4.8849,1.476784,45.5863,1.431952,48.6600
22,4.7337,1.468783,46.2006,1.409773,49.8200
23,4.7570,1.458639,46.2317,1.392700,50.0600
24,4.9612,1.448400,46.7860,1.398690,50.5400
25,4.7390,1.440810,47.0085,1.377577,50.3200
26,4.8656,1.431753,47.4448,1.367894,51.0800
27,4.9648,1.424772,47.7809,1.370984,50.7600
28,4.6668,1.418304,47.8677,1.345879,51.7400
29,4.8342,1.410425,48.4330,1.359715,51.3400
30,4.9863,1.406829,48.3596,1.353641,52.2600
31,4.8388,1.395769,49.0652,1.336494,51.6200
32,4.9100,1.391728,49.2833,1.352503,51.8000
33,4.8404,1.389671,49.3300,1.347844,51.8000
34,4.8372,1.382564,49.4191,1.316812,52.7400
35,5.0706,1.372737,49.6172,1.315194,53.0400
36,4.7930,1.369983,49.7886,1.316578,52.5800
37,4.7019,1.368286,49.9733,1.306760,52.6800
38,4.8612,1.356911,49.9466,1.300913,53.3600
39,4.7608,1.356879,50.3606,1.279589,54.3200
40,4.7195,1.344460,50.8458,1.284864,53.5200
41,4.8750,1.342339,50.9460,1.293229,53.9200
42,4.7514,1.335334,51.5402,1.290906,53.6000
43,4.8843,1.329393,51.5291,1.268155,54.2600
44,4.9280,1.326020,51.4045,1.250685,54.7800
45,4.7394,1.320448,51.9832,1.263020,54.7200
46,4.8328,1.319453,51.8296,1.252176,54.7800
47,4.7747,1.310538,52.2369,1.245643,55.3200
48,4.6977,1.309137,52.2458,1.239141,55.9200
49,4.8295,1.307188,52.4150,1.229248,55.5800
50,4.7919,1.300854,52.3616,1.255763,55.5400
51,4.7325,1.294759,53.0048,1.225585,55.6000
52,4.9233,1.284922,53.1895,1.245953,55.8200
53,4.7973,1.283868,53.3632,1.233636,55.8400
54,4.8184,1.282474,53.3142,1.227708,56.0400
55,4.8647,1.281162,53.5256,1.207455,57.1400
56,4.7223,1.268279,53.8973,1.203973,56.9000
57,4.8242,1.262154,53.9797,1.204319,56.3200
58,4.7984,1.265497,54.1132,1.176158,57.2800
59,4.6990,1.258733,53.9775,1.199550,56.3800
60,4.9511,1.253432,54.2735,1.168066,57.7200
61,4.7969,1.247617,54.6474,1.183522,57.4600
62,4.7771,1.242371,54.9190,1.168749,58.0200
63,4.9262,1.239719,55.0436,1.189337,57.3200
64,4.7842,1.236787,54.9279,1.170601,57.8600
65,4.7463,1.234707,55.3998,1.152887,58.1600
66,4.8775,1.225196,55.4376,1.159084,57.5600
67,4.7725,1.225240,55.6468,1.147316,59.0200
68,4.7789,1.221449,55.6335,1.139460,58.7200
69,4.9217,1.215733,56.2166,1.135067,58.8600
70,4.8500,1.211534,56.2322,1.130503,59.4600
71,4.8804,1.205690,56.1810,1.105452,60.0400
72,4.9099,1.197016,56.9823,1.130995,59.6000
73,4.7704,1.200556,56.5505,1.116899,60.1800
74,4.8578,1.196242,56.6395,1.110957,60.2200
75,4.7762,1.194342,56.7374,1.115094,59.7400
76,4.7596,1.185007,57.1492,1.111818,60.4800
77,4.8637,1.184944,57.0424,1.113010,60.4800
78,4.8009,1.177906,57.5499,1.088851,60.9200
79,4.7875,1.177276,57.4586,1.085973,60.9800
80,4.8434,1.172161,57.6923,1.090894,60.7200
