epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,5.1846,2.100926,20.3170,1.996367,24.8200
2,4.9483,1.942141,27.1924,1.877344,31.6600
3,5.0858,1.859843,30.6023,1.789674,34.9200
4,5.0297,1.778851,33.7317,1.737286,36.6600
5,5.0544,1.733030,35.3989,1.657120,39.9800
6,4.9453,1.699977,36.8167,1.626077,40.8600
7,4.9266,1.676655,37.8339,1.617455,41.2800
8,5.0345,1.658202,38.3903,1.580687,42.6400
9,4.8897,1.635883,39.0714,1.549538,43.2000
10,4.6975,1.615313,40.2066,1.569460,44.0000
11,5.0000,1.600767,40.8965,1.532927,44.1400
12,4.8387,1.580458,41.4463,1.509042,44.8800
13,4.8994,1.566460,42.0918,1.494131,46.1400
14,4.9130,1.549394,42.7106,1.465915,47.0400
15,4.8140,1.536575,43.3316,1.466550,47.0200
16,5.0536,1.518082,44.3109,1.448053,47.6000
17,4.8136,1.505966,44.5936,1.447404,48.2400
18,4.7634,1.496801,45.0432,1.421008,48.9200
19,5.0040,1.480693,45.4661,1.407559,49.9600
20,4.8491,1.468904,46.0581,1.387090,49.8800
21,4.8530,1.453891,46.6791,1.390328,50.7600
22,4.8291,1.443121,47.1510,1.372325,50.4600
23,4.8275,1.430969,47.3224,1.362338,51.0600
24,4.8911,1.417003,48.0680,1.356789,51.0800
25,4.7645,1.406165,48.2795,1.327442,52.8000
26,4.7343,1.393375,49.0808,1.337675,52.4200
27,5.0110,1.382296,49.3567,1.304430,53.4400
28,4.7820,1.369187,49.9043,1.302711,53.7000
29,4.9932,1.362762,50.2671,1.315271,53.3000
30,5.0514,1.350470,50.4741,1.284560,53.9200
31,4.9198,1.345219,50.7857,1.304795,53.7800
32,5.1226,1.336106,51.3511,1.267875,54.5000
33,4.8246,1.330200,51.4868,1.279352,54.4000
34,4.9640,1.317045,51.7005,1.242558,55.4800
35,5.1809,1.312991,51.8318,1.243342,55.7600
36,4.8787,1.303142,52.2147,1.237177,56.1800
37,5.0618,1.303959,52.4795,1.223304,56.3400
38,5.0220,1.296566,52.8112,1.257804,55.2400
39,5.0976,1.285553,53.3543,1.206820,56.3200
40,5.2187,1.278610,53.3565,1.224513,56.3400
41,4.9282,1.273783,53.4433,1.199463,56.8400
42,4.8860,1.271983,53.6414,1.208596,56.8000
43,5.0046,1.273094,53.5368,1.203010,56.7200
44,4.8382,1.261679,53.8395,1.194982,57.1000
45,4.9602,1.259197,53.9819,1.192187,56.8800
46,4.7780,1.253319,54.1867,1.183190,57.8800
47,4.9042,1.246960,54.6652,1.193341,57.8000
48,5.0127,1.243802,54.7298,1.199010,56.9400
49,4.8373,1.241719,54.9079,1.157809,57.9800
50,4.7826,1.230805,55.1816,1.178907,57.6000
51,4.8944,1.229874,55.3241,1.179908,57.7000
52,4.9848,1.226017,55.2707,1.168756,57.1000
53,4.9419,1.221708,55.9785,1.166135,58.4600
54,4.8055,1.215788,55.7737,1.158921,58.5800
55,4.7610,1.214913,56.0319,1.138700,59.3400
56,4.9746,1.208092,56.2188,1.144424,59.2200
57,4.8988,1.205957,56.0964,1.147510,58.6800
58,4.7677,1.200403,56.4548,1.130610,59.8600
59,5.0175,1.197428,56.5572,1.140864,59.2600
60,4.7676,1.189773,56.7397,1.126351,59.6800
61,4.9771,1.188477,57.0402,1.124259,59.7600
62,4.8306,1.185787,57.0669,1.133842,59.6000
63,4.8131,1.178606,57.1848,1.119419,60.2000
64,4.9649,1.180979,57.2026,1.116456,59.8600
65,4.7626,1.171364,57.9594,1.117084,60.4800
66,4.8475,1.166781,57.7212,1.112127,59.8000
67,4.9017,1.162514,57.8748,1.092657,60.9400
68,4.8484,1.164882,57.9794,1.097086,60.5600
69,4.8633,1.161173,57.8681,1.093396,60.8000
70,4.8216,1.160000,58.0618,1.087046,61.1800
71,4.7354,1.148856,58.5359,1.082361,60.9800
72,4.9425,1.149707,58.5604,1.093803,61.0400
73,4.8530,1.144736,58.6338,1.073906,60.7200
74,4.8289,1.139486,59.1035,1.077653,61.2200
75,4.8747,1.136766,58.8386,1.079913,61.6000
76,4.8482,1.133575,58.9276,1.048586,62.7600
77,5.0551,1.128734,59.2993,1.060544,62.1800
78,4.9359,1.120607,59.6198,1.042408,62.3600
79,4.8440,1.119944,59.7378,1.055264,61.9600
80,4.9093,1.118539,59.6844,1.058909,62.3400
