epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,3.9862,1.256063,54.7002,0.682509,77.6800
2,3.2825,0.676307,77.3201,0.457002,85.3800
3,3.6508,0.573529,80.9841,0.418405,86.5800
4,3.4293,0.510449,83.3552,0.347735,88.7200
5,3.4424,0.472340,84.4478,0.321788,89.4000
6,3.3753,0.443484,85.5296,0.295564,90.2800
7,3.4664,0.418866,86.2234,0.278362,90.9000
8,3.3162,0.400975,86.8153,0.273327,90.7800
9,3.5043,0.382766,87.6166,0.264780,91.5200
10,3.4159,0.370462,87.8679,0.243125,92.2000
11,3.4993,0.359184,88.3978,0.225303,92.5400
12,3.3551,0.348944,88.5508,0.223584,92.8000
13,3.3076,0.334725,88.9387,0.219814,92.9800
14,3.3691,0.326479,89.2355,0.208666,93.5000
15,3.5416,0.316895,89.7181,0.207328,93.4400
16,3.3954,0.312305,89.6398,0.191821,93.8800
17,3.4005,0.299149,89.9785,0.179658,94.3800
18,3.5473,0.290642,90.4138,0.176386,94.3000
19,3.5778,0.287790,90.5849,0.170183,94.7200
20,3.4566,0.277513,90.8344,0.187081,94.1000
21,3.4687,0.268230,91.2606,0.169935,94.5200
22,3.4053,0.263076,91.3370,0.157878,95.0000
23,3.5172,0.255750,91.5865,0.151326,94.9400
24,3.3875,0.252878,91.7486,0.158889,95.0400
25,3.3769,0.245261,91.8397,0.145390,95.2800
26,3.4978,0.242749,91.9908,0.145619,95.3400
27,3.5045,0.235764,92.1693,0.140001,95.3800
28,3.2827,0.231060,92.4934,0.143658,95.3200
29,3.4455,0.226372,92.4916,0.141780,95.3800
30,3.5908,0.221511,92.7520,0.136701,95.6800
31,3.4812,0.218949,92.7411,0.150937,95.1400
32,3.4381,0.214251,92.9451,0.140726,95.3600
33,3.3452,0.210131,92.9596,0.122470,96.0600
34,3.5465,0.204176,93.2838,0.126759,95.7600
35,3.3294,0.203937,93.3075,0.126229,95.8400
36,3.4145,0.203951,93.2419,0.111866,96.4800
37,3.2773,0.199719,93.3858,0.124079,95.8400
38,3.5471,0.199463,93.3348,0.121266,95.9600
39,3.4235,0.195214,93.4859,0.116008,96.2800
40,3.4930,0.193355,93.5551,0.114081,95.8600
41,3.3826,0.190015,93.7518,0.122797,96.0400
42,3.4602,0.186950,93.8174,0.114845,95.9200
43,3.4103,0.185957,93.8465,0.129402,95.6200
44,3.3510,0.182702,93.9339,0.111757,95.9600
45,3.4111,0.182463,93.8629,0.109271,96.2400
46,3.4273,0.175191,94.2326,0.109520,96.4600
47,3.4983,0.179008,93.8829,0.127193,95.4400
48,3.3438,0.175265,94.1652,0.115657,96.2200
49,3.3836,0.173832,94.1124,0.102888,96.6000
50,3.4331,0.171902,94.2053,0.114150,96.2000
