epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,5.3830,1.844528,29.7312,1.390216,49.7800
2,4.9438,1.206552,56.3720,0.902802,68.1200
3,4.7165,0.823406,72.0498,0.524228,83.6000
4,5.0413,0.547904,82.5721,0.341236,90.4400
5,5.0153,0.405487,87.5146,0.269573,91.8800
6,5.1256,0.342636,89.3757,0.231738,92.8800
7,4.7664,0.308006,90.4046,0.208024,93.8600
8,4.9919,0.279641,91.1950,0.195863,93.9800
9,5.1683,0.261977,91.7195,0.177483,94.2400
10,4.8927,0.246980,92.2658,0.167930,94.7400
11,4.9269,0.232667,92.6756,0.163641,94.9000
12,5.1722,0.217617,93.2619,0.161206,95.0400
13,4.9312,0.208277,93.5497,0.143823,95.5400
14,5.0879,0.200258,93.7864,0.133529,95.9200
15,5.0455,0.190478,94.0869,0.141336,95.6000
16,4.9742,0.183850,94.2016,0.127062,96.1000
17,5.0818,0.176500,94.4584,0.123199,96.0000
18,4.9165,0.170643,94.6715,0.115804,96.4000
19,5.1514,0.164909,94.8590,0.111377,96.4800
20,4.9367,0.159925,95.0284,0.109819,96.6800
21,5.0481,0.157392,94.9829,0.108854,96.4600
22,5.1988,0.152396,95.1759,0.101152,96.8800
23,4.9587,0.149501,95.2652,0.096478,97.0200
24,5.1604,0.145359,95.3853,0.098750,96.9600
25,5.0532,0.142097,95.5438,0.094243,96.9600
26,4.9959,0.137591,95.6804,0.088437,97.1600
27,5.2676,0.135847,95.7805,0.096099,96.9000
28,4.9864,0.130415,95.9080,0.088459,97.2000
29,5.0546,0.128702,95.9280,0.082678,97.3800
30,5.0632,0.128340,96.0045,0.081462,97.4600
31,5.0168,0.122070,96.1393,0.081455,97.3800
32,5.0932,0.122081,96.1229,0.078639,97.5000
33,5.1848,0.117318,96.2558,0.084598,97.3600
34,5.1235,0.118034,96.2303,0.080425,97.4000
35,5.0671,0.113733,96.4616,0.078332,97.3600
36,5.0022,0.111687,96.4307,0.074276,97.6400
37,5.1812,0.110050,96.4999,0.075598,97.4800
38,4.7295,0.107345,96.5891,0.069340,97.9800
39,5.2044,0.102916,96.6856,0.069466,97.6800
40,5.0092,0.103784,96.6182,0.069339,97.8200
41,4.9802,0.099588,96.7985,0.063489,97.9000
42,5.1066,0.097380,96.8331,0.064851,97.9400
43,5.0546,0.095929,96.8623,0.064476,97.9600
44,4.9882,0.097213,96.9460,0.068409,97.8600
45,5.2739,0.094091,97.0116,0.064185,97.8200
46,4.9692,0.091973,97.0771,0.064937,97.7800
47,5.0672,0.092143,97.0680,0.056932,97.9400
48,5.0954,0.092166,97.0353,0.060462,98.0600
49,5.0177,0.085821,97.2174,0.059337,98.0400
50,5.1900,0.087400,97.2356,0.063294,98.0600
