epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,5.3337,1.856829,30.9714,1.306536,52.2400
2,5.0925,1.154928,59.3386,0.835535,71.6400
3,4.9465,0.824473,71.8295,0.525387,82.6400
4,5.0701,0.554582,82.1514,0.334598,89.1600
5,5.1662,0.405271,87.2924,0.264094,92.1000
6,5.0155,0.334126,89.7290,0.209049,93.4600
7,5.2568,0.292436,90.9473,0.189057,94.1000
8,4.9294,0.262984,91.8269,0.182219,94.0600
9,5.1302,0.242028,92.5408,0.159499,94.9200
10,5.0632,0.223075,92.9797,0.152442,95.3800
11,5.1472,0.210672,93.4659,0.139949,95.9800
12,5.2882,0.199234,93.8866,0.145242,95.6400
13,4.8949,0.188008,94.1124,0.132220,95.9400
14,5.1442,0.179404,94.3874,0.122419,96.2400
15,5.3360,0.174214,94.4183,0.124913,96.1000
16,5.0954,0.163625,94.7844,0.108499,96.7200
17,5.0304,0.158552,95.1304,0.105353,96.8800
18,5.0447,0.153501,95.1905,0.100952,96.9200
19,5.1202,0.150401,95.2979,0.096592,97.0400
20,5.1663,0.142566,95.4691,0.092580,97.2000
21,4.9398,0.139304,95.5729,0.096893,97.0400
22,5.1680,0.133293,95.8898,0.092439,97.1400
23,5.1468,0.132450,95.8242,0.091280,96.8800
24,5.1586,0.126562,96.0555,0.083485,97.4600
25,5.2282,0.122220,96.1648,0.090489,97.1400
26,5.0028,0.119742,96.2995,0.085399,97.3600
27,5.1444,0.117640,96.3560,0.082530,97.3400
28,5.0390,0.116217,96.3341,0.080376,97.3200
29,4.9371,0.112349,96.5181,0.075050,97.5200
30,5.1304,0.109879,96.5964,0.078060,97.5200
31,4.9892,0.105700,96.7093,0.074065,97.6200
32,5.0002,0.104718,96.7402,0.075684,97.6600
33,5.0456,0.102823,96.7785,0.075626,97.6600
34,5.0346,0.100537,96.8550,0.077701,97.4200
35,5.1898,0.100889,96.8003,0.072036,97.6000
36,4.8622,0.095039,97.0316,0.070507,97.7200
37,5.1351,0.092750,97.0589,0.076525,97.5200
38,5.1013,0.094423,97.0353,0.067405,97.7000
39,5.0993,0.090180,97.1300,0.067548,97.8200
40,5.2055,0.088618,97.1208,0.066924,97.9200
41,5.1165,0.089104,97.1900,0.066542,97.8000
42,5.0556,0.086419,97.2174,0.065760,97.8000
43,5.1057,0.086234,97.2957,0.062468,97.8200
44,5.0029,0.084934,97.2174,0.063927,97.9400
45,5.1647,0.082069,97.4031,0.066101,97.9600
46,5.1346,0.082070,97.4323,0.059431,98.1200
47,5.0495,0.080088,97.4395,0.066860,97.8200
48,5.2217,0.078927,97.4596,0.063631,97.8400
49,5.0860,0.079420,97.4523,0.055409,98.1600
50,5.2282,0.076681,97.6034,0.065096,97.8400
