epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,7.4518,1.914833,26.1710,1.569802,35.2200
2,7.2560,1.460367,43.6681,1.190497,54.8200
3,7.2096,1.063742,61.2689,0.796235,70.2600
4,7.2029,0.730102,74.8343,0.512383,83.1600
5,7.2528,0.521758,83.1567,0.375376,88.4400
6,7.2382,0.422539,86.6441,0.305209,90.3800
7,7.2286,0.362057,88.6710,0.247472,92.8200
8,7.1898,0.326480,89.7582,0.225039,93.0400
9,7.2338,0.298524,90.6815,0.221839,93.1200
10,7.2151,0.275873,91.2988,0.188827,94.2000
11,7.2453,0.258078,91.8633,0.204364,93.7400
12,7.2468,0.247652,92.2075,0.182850,94.4800
13,7.2145,0.229940,92.8704,0.172699,94.9600
14,7.2580,0.220060,93.1072,0.146578,95.5800
15,7.2233,0.207280,93.5133,0.142518,95.8000
16,7.2214,0.201981,93.6644,0.139667,95.7800
17,7.2408,0.191032,94.0468,0.133839,95.9000
18,7.2419,0.179822,94.4129,0.129963,96.2000
19,7.2457,0.177444,94.4311,0.119958,96.5200
20,7.2380,0.165995,94.8244,0.120097,96.6400
21,7.2657,0.164708,94.8281,0.120444,96.4800
22,7.2516,0.158100,95.0648,0.108327,96.7400
23,7.2610,0.157550,94.9902,0.107520,96.7600
24,7.2259,0.148386,95.3544,0.102746,96.9600
25,7.2421,0.144496,95.4582,0.111650,96.6800
26,7.2577,0.141275,95.5820,0.108354,96.5800
27,7.2370,0.138430,95.5729,0.099582,97.0000
28,7.2812,0.136370,95.7641,0.098386,96.9200
29,7.1858,0.129339,95.8461,0.088227,97.1600
30,7.1902,0.126112,96.0409,0.097626,97.0800
31,7.2897,0.121924,96.1192,0.081991,97.5200
32,7.2677,0.120429,96.1593,0.084564,97.4800
33,7.2364,0.117999,96.2686,0.098398,96.7600
34,7.2020,0.116069,96.2850,0.083252,97.2000
35,7.1916,0.114843,96.3797,0.085878,97.1800
36,7.2393,0.110471,96.4598,0.076225,97.5400
37,7.2965,0.107668,96.5709,0.076744,97.5200
38,7.2511,0.105605,96.6838,0.074323,97.5200
39,7.2696,0.105119,96.6492,0.075186,97.5800
40,7.2617,0.103043,96.7056,0.079998,97.5400
41,7.2206,0.100146,96.7839,0.079273,97.3400
42,7.2403,0.099656,96.7457,0.072962,97.6000
43,7.1842,0.096772,96.8495,0.070804,97.7200
44,7.2559,0.097229,96.8404,0.063449,98.0200
45,7.1937,0.092384,97.0371,0.066274,97.9600
46,7.2368,0.090129,97.1318,0.065601,97.8200
47,7.2711,0.092627,96.9916,0.065706,97.9200
48,7.2246,0.089198,97.1500,0.078924,97.4000
49,7.2457,0.088727,97.0990,0.071507,97.6000
50,7.2338,0.086937,97.1919,0.067779,97.8800
