epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,13.5530,1.325502,50.9105,0.467331,84.7000
2,12.9670,0.338966,89.5597,0.200933,93.8600
3,12.9311,0.215616,93.3912,0.163392,94.9200
4,13.3193,0.167810,94.8317,0.130396,96.1400
5,13.1564,0.143354,95.5347,0.107173,96.5800
6,13.5056,0.124067,96.1411,0.093934,97.2800
7,13.0666,0.110577,96.5308,0.089782,97.0200
8,13.3783,0.101780,96.7402,0.096876,96.9800
9,13.3207,0.092424,97.0407,0.097803,96.9600
10,13.2532,0.085594,97.2738,0.089350,97.3000
11,13.4211,0.075892,97.5943,0.085621,97.5800
12,13.0719,0.072245,97.6726,0.071816,97.8400
13,13.1193,0.067227,97.8420,0.082287,97.4000
14,13.4687,0.062298,98.0168,0.071065,97.9400
15,13.3702,0.060354,98.0405,0.073773,97.6600
16,12.9524,0.055665,98.2645,0.060185,98.0600
17,13.4431,0.051052,98.3373,0.055235,98.1000
18,13.6354,0.050393,98.3738,0.066832,97.7400
19,13.4353,0.044266,98.5449,0.066971,98.0800
20,13.1451,0.046165,98.4539,0.062128,98.1600
21,13.3691,0.040007,98.6961,0.061917,98.2200
22,13.1657,0.039440,98.6779,0.055802,98.3000
23,13.2178,0.039239,98.6961,0.068601,98.1800
24,13.4063,0.035489,98.7835,0.064414,98.1600
25,13.3717,0.034113,98.8418,0.058070,98.2600
26,13.2508,0.032343,98.9128,0.073738,97.6600
27,13.0976,0.033079,98.8800,0.066819,98.1800
28,13.3649,0.030670,98.9529,0.056210,98.3600
29,13.4813,0.029028,99.0257,0.069837,97.8200
30,13.1559,0.026808,99.0785,0.071925,98.0800
31,13.0651,0.027688,99.0731,0.071030,98.0400
32,13.4954,0.026242,99.1113,0.063815,98.0000
33,13.6015,0.024969,99.1441,0.054444,98.4400
34,13.1909,0.023824,99.1841,0.053197,98.3600
35,13.0305,0.022712,99.2588,0.056518,98.3400
36,13.6160,0.022612,99.2042,0.044460,98.6000
37,13.2339,0.019954,99.3189,0.049814,98.5200
38,13.2613,0.022445,99.1951,0.053755,98.3800
39,13.2237,0.018699,99.3572,0.060190,98.3600
40,13.3620,0.018485,99.3499,0.068020,98.4200
41,13.4029,0.018750,99.3881,0.053104,98.5000
42,13.1569,0.018323,99.3153,0.048597,98.5600
43,12.9611,0.018293,99.3754,0.049697,98.6800
44,13.4691,0.017829,99.3863,0.060857,98.0800
45,13.4299,0.016832,99.4045,0.055339,98.5400
46,13.5408,0.014866,99.4919,0.052434,98.6400
47,13.3021,0.017286,99.3899,0.051820,98.6000
48,13.1400,0.013973,99.5047,0.073817,98.0000
49,13.3229,0.016106,99.4427,0.056414,98.4600
50,13.4283,0.014998,99.4828,0.069133,98.2400
