epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,10.8526,0.854390,70.9462,0.304679,90.8000
2,10.3204,0.260808,92.1128,0.162694,95.2600
3,10.4062,0.173460,94.6514,0.106180,97.0400
4,10.1860,0.139495,95.6822,0.092014,97.0000
5,10.0396,0.114867,96.4561,0.077539,97.6400
6,9.9919,0.100945,96.8258,0.078693,97.6200
7,10.2156,0.089458,97.2010,0.082730,97.3800
8,10.1114,0.080945,97.5051,0.067693,97.7200
9,10.0816,0.071329,97.7145,0.060801,98.1000
10,10.2026,0.068685,97.8256,0.060692,98.1800
11,10.2383,0.064535,97.9932,0.058844,98.3200
12,10.1162,0.057856,98.1625,0.065242,98.1000
13,10.3884,0.053410,98.2208,0.062326,98.1800
14,10.5843,0.049977,98.3719,0.049970,98.3800
15,10.0586,0.046688,98.4739,0.067674,98.0400
16,10.1644,0.044487,98.5431,0.052080,98.5400
17,10.3490,0.040179,98.6688,0.051992,98.5200
18,9.7984,0.038908,98.7544,0.051004,98.5200
19,10.2121,0.036888,98.8126,0.056069,98.4200
20,10.2568,0.035927,98.8054,0.050540,98.4000
21,10.1592,0.033264,98.9128,0.046481,98.6800
22,10.0957,0.030542,99.0203,0.043574,98.7000
23,10.2960,0.030704,98.9729,0.048010,98.5800
24,10.2916,0.028702,99.0403,0.046477,98.6000
25,10.2392,0.027218,99.0731,0.040526,98.8400
26,10.2503,0.027344,99.1058,0.044316,98.6600
27,10.0205,0.027566,99.0476,0.048702,98.6600
28,10.4120,0.024375,99.1769,0.050611,98.5200
29,9.9337,0.024076,99.1896,0.042068,98.7200
30,10.2567,0.024307,99.1678,0.046606,98.6000
31,9.6659,0.020981,99.3226,0.041759,98.9400
32,10.0536,0.021933,99.2697,0.055791,98.4800
33,10.1746,0.018865,99.3663,0.053312,98.5800
34,10.3948,0.022082,99.2406,0.046897,98.6400
35,10.2649,0.018170,99.3772,0.054491,98.2800
36,10.4131,0.018643,99.3808,0.047317,98.4800
37,10.0731,0.019482,99.3389,0.042782,98.8000
38,10.1995,0.015817,99.4464,0.042572,98.8600
39,10.1695,0.017727,99.3808,0.052962,98.6000
40,10.3959,0.016762,99.4118,0.054724,98.4000
41,10.3921,0.015810,99.4737,0.059277,98.2400
42,9.7662,0.017044,99.4009,0.068154,98.3200
43,10.2136,0.015676,99.4664,0.056050,98.2800
44,10.4025,0.014657,99.5010,0.053626,98.6200
45,10.2083,0.015055,99.4701,0.047344,98.6800
46,10.1803,0.013848,99.5484,0.050416,98.5800
47,10.2252,0.013501,99.5028,0.042778,98.6800
48,10.3303,0.014158,99.5138,0.055044,98.6000
49,10.5352,0.014391,99.5047,0.045356,98.7400
50,10.3957,0.013419,99.5520,0.044730,98.8000
