epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,5.5365,1.921247,27.0979,1.640631,35.3200
2,5.2328,1.462064,44.3765,1.071941,61.6400
3,5.1918,0.906787,68.9449,0.589192,80.8000
4,5.2911,0.579140,81.1061,0.365176,87.9800
5,5.0875,0.433654,86.1852,0.313330,89.7000
6,5.2923,0.365006,88.3650,0.246880,92.0200
7,5.3082,0.318886,89.7982,0.225155,92.9200
8,5.1995,0.286226,90.9765,0.221229,92.9200
9,5.2864,0.263209,91.8761,0.208323,93.2800
10,5.1298,0.243139,92.4042,0.171818,94.4400
11,5.2904,0.226733,92.8249,0.171445,94.6000
12,5.1738,0.213176,93.2565,0.147632,95.2400
13,5.1132,0.204420,93.5442,0.150067,95.3600
14,5.2600,0.190872,93.9758,0.140599,95.6200
15,5.1025,0.185037,94.1470,0.138469,95.6800
16,5.3131,0.175944,94.4366,0.132991,96.0000
17,5.0939,0.169732,94.6205,0.123568,96.1800
18,5.1225,0.161655,95.0175,0.113401,96.3800
19,5.3263,0.156385,95.0648,0.114588,96.4600
20,5.1894,0.152200,95.1176,0.130859,96.0200
21,5.2754,0.145652,95.4910,0.105297,96.6000
22,5.1360,0.142480,95.5529,0.105990,96.7200
23,5.2608,0.136108,95.5583,0.102108,96.7400
24,5.2519,0.131446,95.7951,0.109164,96.5200
25,5.1528,0.128429,95.9845,0.101817,97.0000
26,5.3282,0.126840,95.9262,0.097241,97.0800
27,5.1699,0.122035,96.1192,0.098513,96.9400
28,5.0651,0.117999,96.3123,0.090040,97.3200
29,5.3521,0.115888,96.3196,0.098796,96.9600
30,5.1062,0.112588,96.3815,0.090827,97.2000
31,5.3481,0.110106,96.5581,0.080775,97.4400
32,5.0955,0.109210,96.5600,0.090456,97.0400
33,5.0333,0.106250,96.5800,0.081359,97.5400
34,5.1972,0.103287,96.6984,0.089424,97.2600
35,5.1571,0.102850,96.6455,0.084156,97.2800
36,5.3369,0.099235,96.7275,0.076299,97.6400
37,5.2329,0.097997,96.8768,0.078169,97.5200
38,5.2103,0.095675,96.9078,0.079229,97.4800
39,5.1751,0.093239,97.0189,0.075881,97.5600
40,5.1160,0.092241,97.0353,0.073977,97.5800
41,5.3522,0.090314,97.1372,0.076876,97.5800
42,5.1546,0.089396,97.1682,0.073604,97.5600
43,5.1285,0.085888,97.2847,0.075904,97.6000
44,5.2992,0.086670,97.1591,0.065227,97.8800
45,5.1820,0.085123,97.2939,0.071632,97.5600
46,5.3426,0.081862,97.3448,0.070295,97.7200
47,4.9405,0.080779,97.4832,0.063996,98.0000
48,5.1565,0.079892,97.3813,0.065302,97.9000
49,5.2640,0.080184,97.4231,0.063356,97.9800
50,5.2085,0.078921,97.4578,0.064529,97.9200
